answer,candidate,pct
Biden,Joseph R. Biden Jr.,27.0
Sanders,Bernard Sanders,20.0
Warren,Elizabeth Warren,18.0
Harris,Kamala D. Harris,12.0
Buttigieg,Pete Buttigieg,7.0
Gabbard,Tulsi Gabbard,2.0
O'Rourke,Beto O'Rourke,2.0
Klobuchar,Amy Klobuchar,1.0
Delaney,John K. Delaney,1.0
Gillibrand,Kirsten E. Gillibrand,1.0
Steyer,Tom Steyer,1.0
Booker,Cory A. Booker,1.0
Yang,Andrew Yang,1.0
Hickenlooper,John Hickenlooper,1.0
Castro,Julián Castro,1.0
Sestak,Joe Sestak,0.0
Bennet,Michael F. Bennet,0.0
Bullock,Steve Bullock,0.0
Inslee,Jay Robert Inslee,0.0
Williamson,Marianne Williamson,0.0
Ryan,Tim Ryan,0.0
Gravel,Mike Gravel,0.0
de Blasio,Bill de Blasio,0.0
Moulton,Seth Moulton,0.0
Messam,Wayne Messam,0.0
